CATEGORY,RUN_ACCESSION,STATUS,FASTQ_MD5_LIST,FASTQ_URL_LIST
10000_RANDOM_1MB,ERR10127728,ACTIVE,"[""561893ec67df80ff8fea20bd17bceae3"",""a8a1a0c826cf2dfbf520981cbdd183b5""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/028/ERR10127728/ERR10127728_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/028/ERR10127728/ERR10127728_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10127764,SUPPRESSED,[],[]
10000_RANDOM_1MB,ERR10127908,SUPPRESSED,[],[]
10000_RANDOM_1MB,ERR10127942,SUPPRESSED,[],[]
10000_RANDOM_1MB,ERR10127951,SUPPRESSED,[],[]
10000_RANDOM_1MB,ERR10127967,SUPPRESSED,[],[]
10000_RANDOM_1MB,ERR10127984,ACTIVE,"[""8be6bad2b70965a22c10aff5b3174a69"",""6658052bf1b5d6e6331038b9e52f039b""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/084/ERR10127984/ERR10127984_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/084/ERR10127984/ERR10127984_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10128035,ACTIVE,"[""375cd1c42f35e2c7000529efa39290e4"",""b545801e677712cb1a5b0d102f103c29""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/035/ERR10128035/ERR10128035_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/035/ERR10128035/ERR10128035_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10128234,ACTIVE,"[""cea16cf1adb1e4b2e035bb0763f68d0d"",""a1233a5241a46a3ee3b4a7ffe8c206ef""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/034/ERR10128234/ERR10128234_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/034/ERR10128234/ERR10128234_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10128261,SUPPRESSED,[],[]
10000_RANDOM_1MB,ERR10128329,SUPPRESSED,[],[]
10000_RANDOM_1MB,ERR10128418,SUPPRESSED,[],[]
10000_RANDOM_1MB,ERR10128476,ACTIVE,"[""62e1798f0de785a8d03d141def6c6b86"",""5482a6b64c71867c06ce0422f03b85e6""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/076/ERR10128476/ERR10128476_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/076/ERR10128476/ERR10128476_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10128599,SUPPRESSED,[],[]
10000_RANDOM_1MB,ERR10128645,SUPPRESSED,[],[]
10000_RANDOM_1MB,ERR10129046,ACTIVE,"[""dd95adc83d11c295a1d718c128005e75""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/046/ERR10129046/ERR10129046.fastq.gz""]"
10000_RANDOM_1MB,ERR10129057,ACTIVE,"[""24ed240b182e510bc295443f1062fc33""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/057/ERR10129057/ERR10129057.fastq.gz""]"
10000_RANDOM_1MB,ERR10151745,ACTIVE,"[""2c54fabb1ede4bc32bb066d6199bb58d"",""190cf0bd65ca77e6219b69df3d9d8522""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/045/ERR10151745/ERR10151745_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/045/ERR10151745/ERR10151745_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10175788,ACTIVE,"[""a355577baf856866948086fbc97b2920"",""9b1c7185ba9db990b5111ad481893163""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/088/ERR10175788/ERR10175788_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/088/ERR10175788/ERR10175788_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10180252,ACTIVE,"[""1421fbf13ed22acbda16bb22f5c2952e"",""f0818e4bf303111728010f71f3518081""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/052/ERR10180252/ERR10180252_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/052/ERR10180252/ERR10180252_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10183902,ACTIVE,"[""be6681d0bbac66fcf5c7dcc66c32edd0"",""332987a6bfa556a57260b877012533e8""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR10183902/ERR10183902_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR10183902/ERR10183902_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10189863,ACTIVE,"[""a8f80ff409de27f654651c38d771378f"",""608df39a7aaa71acddb9e5fb1d5d6aaa""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/063/ERR10189863/ERR10189863_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/063/ERR10189863/ERR10189863_2.fastq.gz""]"
10000_RANDOM_1MB,ERR1019670,ACTIVE,"[""d6722d63720dc401cb69a9a2eb77dae3"",""ae9e223dc8259603413ee711260c1e67""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1019670/ERR1019670_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1019670/ERR1019670_2.fastq.gz""]"
